movieId,directorId
5415,2755
5657,1244
5664,511
7711,511
7714,511
7704,511
5382,511
5665,511
7717,511
4976,511
5471,511
7715,511
2428,511
2524,511
5659,511
7710,511
2593,511
2519,511
7710,3337
2524,744
5439,744
7717,744
7715,744
7714,744
3140,744
7704,744
7711,744
5688,744
5662,757
4976,517
1662,172
9021,723
4934,604
4646,297
6075,297
3240,297
6482,1581
6011,1581
2512,1581
4987,644
5661,510
5205,265
5694,265
1503,265
3880,2603
5698,999
5558,294
6221,1143
1002,9
4654,9
744,9
5700,9
5704,9
3987,9
2279,9
5503,994
720,722
2878,722
4778,722
5649,722
7277,758
3429,738
4934,573
4349,1461
1694,278
5644,278
2030,537
2233,537
7569,537
3921,244
4027,871
5839,871
7409,3864
2482,686
3496,686
4724,686
4317,84
6051,84
6970,84
3039,84
2932,84
762,84
3936,84
5748,379
5058,379
5055,379
1808,688
5555,830
2329,440
1857,1310
4630,1310
2882,1310
777,515
7919,731
7101,731
8432,731
2466,277
6875,277
4989,3518
2199,1290
4595,326
478,326
1136,326
5302,326
3275,326
1047,326
6414,326
2695,14
5697,14
5181,14
3736,14
5368,14
5712,14
3890,14
3983,14
1572,14
1014,14
4677,14
5676,14
5695,14
5501,14
5592,55
2525,55
2260,663
3557,588
6632,588
6632,575
6632,589
4973,617
594,617
3988,617
5011,617
1454,407
2093,407
2351,407
2224,407
7073,28
1354,28
2802,28
3060,28
97,28
8679,28
7113,28
4457,28
4458,28
1911,28
4852,28
3843,28
2053,28
3757,28
1181,28
6601,28
453,28
7404,28
4825,28
4172,28
5983,28
7655,28
1020,28
3533,28
1982,28
3065,28
3836,28
6557,28
2343,28
7925,28
6522,2839
6998,2839
5234,2839
5739,2839
7499,1036
4569,1036
3044,1092
4088,2265
2193,2265
2299,2265
2801,2265
392,16
2395,16
2910,16
5744,2748
1184,157
1671,157
3409,157
5472,157
394,157
4001,157
1669,157
1670,157
4943,157
2492,295
268,295
1362,295
7862,295
3564,295
8246,295
3183,295
6826,295
1518,295
7125,323
8230,305
4544,3256
505,225
2547,225
3539,225
3012,225
4637,1291
2819,582
1097,582
3885,582
4442,273
2230,273
3346,847
4346,847
5016,139
6278,139
6062,139
2188,139
3780,139
4574,139
5015,139
2189,139
4553,139
3693,139
5781,139
3566,1158
3348,1158
586,1158
248,1158
1885,1158
3562,1158
742,1158
436,1158
4827,1158
1893,777
4917,122
3710,122
856,122
1867,122
3050,122
5305,122
868,122
3048,122
1812,122
1625,122
4464,122
8074,122
7260,122
1525,122
3476,122
3635,122
7014,122
49,122
8646,122
3049,122
8374,122
2517,122
7641,122
2202,122
4084,122
4078,122
3488,122
8959,122
439,122
6304,122
6476,122
6081,122
7808,122
1349,122
869,122
985,122
2888,122
998,122
313,122
5285,122
2385,122
4709,122
1346,245
870,524
4821,36
3524,36
8526,36
2500,36
2380,36
3819,36
956,36
912,36
6500,36
31,36
6213,36
1455,36
7278,36
3164,3213
5822,302
4629,302
641,302
1862,302
5347,302
1005,302
8833,302
4622,302
5069,302
4990,302
3404,302
5568,302
4969,302
2323,302
2376,3223
3505,1001
3508,1001
3653,1747
5763,1747
5778,1747
5747,1747
237,1132
183,1132
1093,751
665,713
2747,713
2626,713
2952,713
364,713
850,113
3947,546
181,246
2644,246
9026,1472
7264,1472
4936,1472
664,1472
9122,392
7114,392
2615,392
4888,392
2817,392
129,392
8410,392
1660,392
2015,392
2058,392
7222,392
7725,392
1743,392
2499,392
6149,392
3192,392
1917,392
1884,392
335,392
3873,392
6432,392
675,392
6142,126
1971,126
7971,126
1264,126
378,45
6590,45
901,1116
3978,1116
2501,1116
4779,1116
3406,1116
4316,413
1056,413
5296,413
734,413
3499,413
2939,413
1008,413
4650,413
3237,413
4655,413
4416,413
786,413
2690,413
2669,413
5294,413
5187,413
5293,413
3276,413
4377,413
787,413
5295,413
5774,1944
5775,2928
4301,2928
1919,848
7599,848
6586,848
4276,848
1920,848
1921,848
6880,848
356,1390
6629,873
1113,146
7244,221
6112,221
7646,221
4474,221
4479,221
4155,221
6038,221
6039,221
4674,221
7511,1332
959,526
7938,526
2843,526
3617,526
1629,2355
7805,100
53,100
9084,100
3747,100
8401,1851
7309,274
6345,274
7914,274
4422,274
4971,274
312,274
5607,274
2682,274
8524,274
6239,274
201,274
1715,274
3553,274
4845,274
2471,274
1006,274
7465,274
4685,274
5605,274
2224,468
2892,765
2436,765
1819,765
5787,765
4508,765
1032,765
466,765
11,765
1820,765
2925,765
1970,712
4166,712
2235,712
4865,712
3092,712
6415,712
1621,712
3093,712
7759,179
6315,179
4211,1082
4295,1082
6006,1082
5887,968
5001,968
4022,968
4462,968
2308,968
6347,968
5817,968
2307,968
6525,1028
3271,619
952,2062
3492,2062
3776,2062
4132,2062
1791,74
3948,646
388,1458
2628,1458
376,1458
2320,1458
898,1458
131,1458
5224,1458
1394,1458
100,206
438,206
5106,206
6532,206
4945,135
2710,1775
1698,1775
1529,1775
1698,476
2198,476
2711,476
2218,476
56,476
3512,476
5404,476
1285,476
4921,476
6729,476
3045,476
3548,476
2266,4
2684,4
3398,4
1148,4
3343,4
6343,4
1115,147
2753,147
4063,147
1116,147
2348,580
1804,580
476,580
3085,580
5582,580
5837,580
1871,580
5278,580
4307,580
3793,580
2045,687
4090,2285
4836,1127
2897,1127
2989,1127
716,1343
4942,1343
4868,1343
2760,1343
6005,1153
3912,1153
6663,1153
9015,46
7194,421
6992,421
3917,421
6041,421
5379,421
6040,421
3915,421
6402,421
4966,421
7434,421
3961,421
546,421
7764,421
2574,421
6723,421
4229,421
7293,421
4163,421
6203,421
7156,421
2382,421
7387,421
2411,421
8259,178
1833,178
1231,178
6632,590
5557,1646
9124,1978
3310,902
6973,902
1161,902
6736,902
4431,902
7763,902
2156,902
7576,902
7932,902
8383,902
6411,902
2242,902
96,902
3218,34
5365,620
2239,134
4369,134
7251,134
2838,134
606,134
6302,134
1019,134
3174,134
2035,134
278,134
5233,186
72,186
3251,186
6787,186
7379,64
4434,64
3615,79
5284,1404
1226,318
4387,2948
5309,2948
5606,2948
3655,2948
7171,627
3443,583
7703,1525
308,2633
8936,2633
3167,1250
1436,2046
6582,1848
3463,1848
8302,1848
4182,1848
6244,1848
7354,696
4251,2037
3612,2037
4251,521
6886,1846
4791,56
4920,56
680,56
3434,56
3671,56
4033,56
844,6
7829,6
3263,1553
193,1553
7344,2277
1135,371
4588,424
2460,561
6574,230
1786,230
4135,230
5045,1194
676,461
4824,461
3785,2487
1013,235
4669,235
10,235
6320,235
4735,235
954,235
1138,235
7625,235
1794,235
2793,235
2375,235
1060,235
8631,235
1042,235
6850,235
451,235
5125,177
523,125
1361,125
4728,125
8625,3164
1168,3164
7881,3164
4552,3164
218,3164
6255,596
8479,201
4067,61
8267,1188
4051,170
6240,170
4468,1532
434,1858
9000,1223
7592,1223
7630,1223
9044,1223
9074,1223
