userId,movieId,rating
0,1087,2.0
0,1083,3.5
0,1140,1.0
0,1111,2.5
0,1017,2.0
0,931,4.0
0,1047,2.0
0,1041,2.0
0,833,3.0
0,30,2.5
0,906,2.0
0,859,3.0
0,1743,2.0
0,1708,3.0
0,1665,4.0
0,1515,4.0
0,2925,3.0
0,2380,1.0
0,1962,2.5
0,1815,2.0
1,220,3.0
1,207,3.0
1,233,4.0
1,225,4.0
1,195,5.0
1,184,3.0
1,198,3.0
1,196,1.0
1,147,3.0
1,144,3.0
1,164,3.0
1,163,3.0
1,129,5.0
1,123,3.0
1,140,3.0
1,132,4.0
1,48,4.0
1,49,3.0
1,58,3.0
1,100,4.0
1,9,4.0
1,16,5.0
1,37,5.0
1,45,4.0
1,447,4.0
1,444,3.0
1,494,5.0
1,493,3.0
1,483,3.0
1,481,4.0
1,472,4.0
1,461,4.0
1,455,4.0
1,454,4.0
1,524,5.0
1,523,5.0
1,522,5.0
1,521,3.0
1,520,3.0
1,519,3.0
1,518,5.0
1,495,3.0
1,567,4.0
1,607,4.0
1,525,3.0
1,543,3.0
1,238,5.0
1,237,5.0
1,245,4.0
1,244,3.0
1,266,4.0
1,262,3.0
1,280,4.0
1,268,3.0
1,285,1.0
1,283,2.0
1,314,4.0
1,304,3.0
1,321,3.0
1,315,4.0
1,328,3.0
1,322,3.0
1,331,3.0
1,334,2.0
1,335,3.0
1,336,3.0
1,341,3.0
1,346,3.0
1,357,2.0
1,361,3.0
1,403,4.0
1,406,3.0
1,416,4.0
1,422,2.0
1,427,4.0
1,432,3.0
2,6383,3.5
2,954,5.0
2,699,3.0
2,990,4.0
2,966,3.0
2,527,2.0
2,525,3.0
2,642,4.0
2,617,3.5
2,1590,4.0
2,1455,4.0
2,2010,3.0
2,1834,4.0
2,1118,4.0
2,1025,3.0
2,1359,4.5
2,1253,3.5
2,2273,4.0
2,2288,4.0
2,2374,5.0
2,2599,3.0
2,2156,3.0
2,2162,3.5
2,2173,3.0
2,2212,3.5
2,4610,3.0
2,5026,2.5
2,5127,3.0
2,5480,3.5
2,2804,4.0
2,3157,5.0
2,4085,3.0
2,4259,3.5
2,219,3.5
2,239,3.0
2,56,3.0
2,100,4.0
2,521,3.0
2,524,3.0
2,341,2.5
2,472,3.0
2,320,2.5
2,321,5.0
2,266,4.5
2,284,5.0
2,6916,3.0
2,6601,4.5
2,7733,4.0
2,5904,3.5
2,5485,3.0
2,6557,4.5
3,1112,3.0
3,1111,4.0
3,1100,4.0
3,1088,5.0
3,1079,5.0
3,1077,4.0
3,1060,4.0
3,1051,4.0
3,1045,5.0
3,1042,5.0
3,1039,4.0
3,1036,5.0
3,1032,5.0
3,1024,5.0
3,1019,5.0
3,1013,4.0
3,1011,5.0
3,1012,5.0
3,994,5.0
3,997,5.0
3,981,5.0
3,985,5.0
3,976,5.0
3,978,5.0
3,970,5.0
3,975,5.0
3,966,5.0
3,969,5.0
3,962,5.0
3,964,5.0
3,955,5.0
3,957,5.0
3,1594,4.0
3,1583,4.0
3,1607,5.0
3,1595,4.0
3,1576,4.0
3,1567,5.0
3,1582,4.0
3,1580,5.0
3,1562,5.0
3,1556,5.0
3,1565,2.0
3,1564,3.0
3,1523,5.0
3,1516,5.0
3,1530,5.0
3,1529,3.0
3,1436,5.0
3,1480,4.0
3,1481,2.0
3,1515,5.0
3,1253,5.0
3,1322,4.0
3,1331,5.0
3,1406,1.0
3,1125,5.0
3,1126,4.0
3,1134,5.0
