movieId,actorId
0,2876
0,2875
0,14
0,1773
1,635
1,11974
1,77
1,1995
2,1694
2,2970
2,921
2,3502
3,2065
3,6546
3,2224
3,3779
4,8165
4,8492
4,899
4,158
5,352
5,121
5,1439
5,2312
6,3388
6,2
6,2887
6,3587
7,6745
7,6537
7,7254
7,1901
8,9199
8,2357
8,1577
8,3261
9,156
9,2447
9,21
9,2446
10,1970
10,160
10,986
10,155
11,375
11,1541
11,1865
11,2839
12,1241
12,123
12,2736
12,670
13,2560
13,1577
13,1137
13,85
14,3547
14,2079
14,2017
14,1902
15,121
15,1210
15,1185
15,1206
16,2453
16,76
16,79
16,3640
17,903
17,906
17,905
17,904
18,78
18,1012
18,1096
18,7187
19,2477
19,2164
19,7307
19,3531
20,157
20,71
20,3098
20,2074
21,3843
21,4125
21,3842
21,2332
22,378
22,912
22,7416
22,3473
23,6887
23,796
23,1261
23,722
24,853
24,573
24,1539
24,1540
25,417
25,855
25,2577
25,4869
26,5039
26,634
26,2880
26,1707
27,5159
27,9885
27,2047
27,2936
28,699
28,3019
28,3020
28,709
29,194
29,11993
29,12089
29,11914
30,4564
30,2388
30,2708
30,354
31,26
31,103
31,13695
31,13446
32,410
32,7358
32,6678
32,1564
33,4886
33,1752
33,6846
33,120
34,1104
34,2357
34,2356
34,665
35,1556
35,14767
35,14768
35,14769
36,520
36,4761
36,8184
36,8183
37,1444
37,4439
37,109
37,7361
38,3266
38,7991
38,72
38,3695
39,407
39,128
39,155
39,940
40,3784
40,1704
40,30
40,7983
41,1259
41,2580
41,940
41,1605
42,2611
42,7211
42,7212
42,5791
43,8722
43,826
43,542
43,664
44,2468
44,558
44,605
44,218
45,70
45,102
45,2729
45,2731
46,724
46,7958
46,4934
46,10936
47,3296
47,6893
47,1217
47,6892
48,1342
48,2109
48,338
48,1772
49,384
49,4551
49,15003
49,4549
50,4834
50,14023
50,13906
50,4713
51,6329
51,1531
51,4761
51,2021
52,2377
52,1792
52,6560
52,3382
53,3842
53,437
53,940
53,2468
54,4583
54,3074
54,2470
54,8171
55,13545
55,13546
55,1416
55,5787
56,4972
56,5309
56,8333
56,8332
57,18
57,85
57,4825
57,12182
58,4281
58,4280
58,869
58,875
59,4868
59,8005
59,2181
59,5604
60,1468
60,3776
60,1977
60,1324
61,7323
61,7322
61,4556
61,1879
62,5049
62,5894
62,5674
62,7357
63,2995
63,1157
63,5556
63,4671
64,2222
64,30
64,2225
64,1974
65,435
65,57
65,311
65,931
66,2900
66,1192
66,245
66,5426
67,6645
67,13639
67,4406
67,2314
68,1060
68,5564
68,7801
68,11820
69,4277
69,3523
69,5236
69,662
70,4898
70,7174
70,7173
70,7172
71,13203
71,15320
71,10874
71,13375
72,153
72,1455
72,24
72,15
73,4562
73,1948
73,991
73,1831
74,14626
74,13575
74,13576
74,13577
75,1211
75,317
75,1424
75,394
76,2959
76,2957
76,2958
76,2956
77,4038
77,2890
77,11256
77,12184
78,13469
78,8376
78,4429
78,12347
79,3096
79,1416
79,5963
79,6908
80,376
80,4643
80,6421
80,1662
81,370
81,1610
81,1250
81,4859
82,7629
82,4360
82,1098
82,7368
83,1238
83,4332
83,3695
83,36
84,368
84,6401
84,1456
84,1723
85,239
85,8037
85,2224
85,5332
86,2591
86,5483
86,826
86,6468
87,2074
87,662
87,4235
87,3856
88,5314
88,5085
88,2986
88,12817
89,562
89,1405
89,1404
89,1403
90,5114
90,4998
90,2200
90,6017
91,10104
91,10113
91,8840
91,13893
92,304
92,670
92,874
92,352
93,274
93,5649
93,6056
93,13828
94,279
94,944
94,2097
94,8
95,2616
95,2194
95,2274
95,1192
96,3962
96,1192
96,2681
96,5241
97,69
97,1325
97,1711
97,2364
98,4084
98,2739
98,2138
98,2952
99,13358
99,10654
99,13359
99,6523
100,728
100,732
100,731
100,729
101,314
101,316
101,315
101,758
102,6237
102,6236
102,2495
102,3871
103,1325
103,11336
103,250
103,1070
104,401
104,12463
104,4070
104,3858
105,2577
105,154
105,14707
106,9323
106,9324
106,6750
106,1375
107,1821
107,159
107,8217
107,1446
108,394
108,2467
108,549
108,168
109,13406
109,14096
109,12465
109,3296
110,7417
110,7494
110,1219
110,239
111,413
111,7144
111,6162
111,2837
112,637
112,13266
112,12850
112,3075
113,1821
113,1236
113,1291
113,4312
114,8508
114,7208
114,11669
114,3765
115,793
115,8996
115,1948
115,377
116,9912
116,1037
116,12457
116,11899
117,1342
117,11808
117,3558
117,13173
118,3484
118,2110
118,2194
118,3482
119,7628
119,1322
119,1762
119,5483
120,6274
120,6275
120,6272
120,6273
121,951
121,2076
121,354
121,1127
122,9161
122,548
122,635
122,71
123,9793
123,9792
123,4338
123,9791
124,9880
124,2172
124,9093
124,835
125,14029
125,5342
125,10847
125,10846
126,7935
