movieId,title,plot,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,imdbRating,imdbVotes,runtime,year,num_popular_actors,num_popular_directors
0,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5289284804455414,5.144228634267825,-0.8761218789966126,0.1589047231113472,2.9434172131610694,4.502288445675965
1,Jumanji,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.17489698104431886,1.394602446681452,-0.05895126944443847,0.1589047231113472,1.2284129305421587,-0.21885405797758367
2,Grumpier Old Men,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.11525262597022945,-0.3182065859192955,-0.16553874025559162,0.1589047231113472,-0.4865913520767517,-0.21885405797758367
3,Waiting to Exhale,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.0824179826853881,-0.42688905513489317,0.6516318692965826,0.1589047231113472,-0.4865913520767517,-0.21885405797758367
4,Father of the Bride Part II,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7922683756708399,-0.24842300660620284,0.012107044429663628,0.1589047231113472,1.2284129305421587,-0.21885405797758367
5,Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.432211944774024,3.4716335446824065,2.285973088400931,0.1589047231113472,6.37342577839889,-0.21885405797758367
6,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5021187686562925,-0.21837690178929978,0.7582193401077356,0.1589047231113472,1.2284129305421587,-0.21885405797758367
7,Tom and Huck,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0824179826853881,-0.42675564394953425,-0.30765536800379584,0.1589047231113472,-0.4865913520767517,-0.21885405797758367
8,Sudden Death,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9857014470138717,-0.25757120217367097,0.18975282911491886,0.1589047231113472,-0.4865913520767517,-0.21885405797758367
9,GoldenEye,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4650465880588663,1.3595438930432069,0.8648068109188888,0.1589047231113472,-0.4865913520767517,-0.21885405797758367
10,"American President, The","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.07818044537280246,-0.09552425881450934,0.296340299926072,0.1589047231113472,4.658421495779979,4.502288445675965
